year,name,code,iso2,region,income_group,value_usd,value_million_usd,value_trillion_usd,rank,source,indicator,source_url
1975,United States,USA,US,North America,High income,703800000000,703800.00,0.703800,1,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Japan,JPN,JP,East Asia & Pacific,High income,141799090000,141799.09,0.141799,2,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,United Kingdom,GBR,GB,Europe & Central Asia,High income,85803890000,85803.89,0.085804,3,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Germany,DEU,DE,Europe & Central Asia,High income,51400310000,51400.31,0.051400,4,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,France,FRA,FR,Europe & Central Asia,High income,35299950000,35299.95,0.035300,5,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Spain,ESP,ES,Europe & Central Asia,High income,33199890000,33199.89,0.033200,6,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,24100740000,24100.74,0.024101,7,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Netherlands,NLD,NL,Europe & Central Asia,High income,18300020000,18300.02,0.018300,8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Switzerland,CHE,CH,Europe & Central Asia,High income,16469560000,16469.56,0.016470,9,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Italy,ITA,IT,Europe & Central Asia,High income,10800000000,10800.00,0.010800,10,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Belgium,BEL,BE,Europe & Central Asia,High income,9000100000,9000.10,0.009000,11,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,"Hong Kong SAR, China",HKG,HK,East Asia & Pacific,High income,8100040000,8100.04,0.008100,12,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Denmark,DNK,DK,Europe & Central Asia,High income,4099990000,4099.99,0.004100,13,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
