year,name,code,iso2,region,income_group,value_usd,value_million_usd,value_trillion_usd,rank,color,source,indicator,source_url
1975,United States,USA,US,North America,High income,703800000000,703800.00,0.703800,1,#A78BFA,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Japan,JPN,JP,East Asia & Pacific,High income,141799090000,141799.09,0.141799,2,#FB7185,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,United Kingdom,GBR,GB,Europe & Central Asia,High income,85803890000,85803.89,0.085804,3,#818CF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Germany,DEU,DE,Europe & Central Asia,High income,51400310000,51400.31,0.051400,4,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,France,FRA,FR,Europe & Central Asia,High income,35299950000,35299.95,0.035300,5,#FACC15,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Spain,ESP,ES,Europe & Central Asia,High income,33199890000,33199.89,0.033200,6,#22C55E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,South Africa,ZAF,ZA,Sub-Saharan Africa,Upper middle income,24100740000,24100.74,0.024101,7,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Netherlands,NLD,NL,Europe & Central Asia,High income,18300020000,18300.02,0.018300,8,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Switzerland,CHE,CH,Europe & Central Asia,High income,16469560000,16469.56,0.016470,9,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Italy,ITA,IT,Europe & Central Asia,High income,10800000000,10800.00,0.010800,10,#2DD4BF,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Belgium,BEL,BE,Europe & Central Asia,High income,9000100000,9000.10,0.009000,11,#84CC16,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,"Hong Kong SAR, China",HKG,HK,East Asia & Pacific,High income,8100040000,8100.04,0.008100,12,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Denmark,DNK,DK,Europe & Central Asia,High income,4099990000,4099.99,0.004100,13,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Sweden,SWE,SE,Europe & Central Asia,High income,2200010000,2200.01,0.002200,14,#F97316,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,"Iran, Islamic Rep.",IRN,IR,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,1900010000,1900.01,0.001900,15,#FACC15,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Austria,AUT,AT,Europe & Central Asia,High income,1300010000,1300.01,0.001300,16,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Luxembourg,LUX,LU,Europe & Central Asia,High income,800000000,800.00,0.000800,17,#EF4444,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1975,Mexico,MEX,MX,Latin America & Caribbean,Upper middle income,470000000,470.00,0.000470,18,#38BDF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,United States,USA,US,North America,High income,883100000000,883100.00,0.883100,1,#A78BFA,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,Japan,JPN,JP,East Asia & Pacific,High income,180900950000,180900.95,0.180901,2,#FB7185,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,United Kingdom,GBR,GB,Europe & Central Asia,High income,69696610000,69696.61,0.069697,3,#818CF8,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,Germany,DEU,DE,Europe & Central Asia,High income,53399790000,53399.79,0.053400,4,#F43F5E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,France,FRA,FR,Europe & Central Asia,High income,27399770000,27399.77,0.027400,5,#FACC15,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
1976,Spain,ESP,ES,Europe & Central Asia,High income,24000000000,24000.00,0.024000,6,#22C55E,World Bank WDI via World Federation of Exchanges,CM.MKT.LCAP.CD,https://data.worldbank.org/indicator/CM.MKT.LCAP.CD
