year,name,code,region,value,color,rank,valueUsd,valueTrillionUsd,source
1975,United States,USA,North America,0.703800,#A78BFA,1,703800000000,0.703800,World Bank WDI via World Federation of Exchanges
1975,Japan,JPN,East Asia & Pacific,0.141799,#FB7185,2,141799090000,0.141799,World Bank WDI via World Federation of Exchanges
1975,United Kingdom,GBR,Europe & Central Asia,0.085804,#818CF8,3,85803890000,0.085804,World Bank WDI via World Federation of Exchanges
1975,Germany,DEU,Europe & Central Asia,0.051400,#F43F5E,4,51400310000,0.051400,World Bank WDI via World Federation of Exchanges
1975,France,FRA,Europe & Central Asia,0.035300,#FACC15,5,35299950000,0.035300,World Bank WDI via World Federation of Exchanges
1975,Spain,ESP,Europe & Central Asia,0.033200,#22C55E,6,33199890000,0.033200,World Bank WDI via World Federation of Exchanges
1975,South Africa,ZAF,Sub-Saharan Africa,0.024101,#EF4444,7,24100740000,0.024101,World Bank WDI via World Federation of Exchanges
1975,Netherlands,NLD,Europe & Central Asia,0.018300,#2DD4BF,8,18300020000,0.018300,World Bank WDI via World Federation of Exchanges
1975,Switzerland,CHE,Europe & Central Asia,0.016470,#38BDF8,9,16469560000,0.016470,World Bank WDI via World Federation of Exchanges
1975,Italy,ITA,Europe & Central Asia,0.010800,#2DD4BF,10,10800000000,0.010800,World Bank WDI via World Federation of Exchanges
1975,Belgium,BEL,Europe & Central Asia,0.009000,#84CC16,11,9000100000,0.009000,World Bank WDI via World Federation of Exchanges
1975,"Hong Kong SAR, China",HKG,East Asia & Pacific,0.008100,#F43F5E,12,8100040000,0.008100,World Bank WDI via World Federation of Exchanges
1975,Denmark,DNK,Europe & Central Asia,0.004100,#F97316,13,4099990000,0.004100,World Bank WDI via World Federation of Exchanges
1975,Sweden,SWE,Europe & Central Asia,0.002200,#F97316,14,2200010000,0.002200,World Bank WDI via World Federation of Exchanges
1975,"Iran, Islamic Rep.",IRN,"Middle East, North Africa, Afghanistan & Pakistan",0.001900,#FACC15,15,1900010000,0.001900,World Bank WDI via World Federation of Exchanges
