year,name,code,flag,region,currency,value,rank,color,source
2005,Colombia,COL,🇨🇴,Americas,COP,2321.13,1,#FACC15,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,South Korea,KOR,🇰🇷,Asia,KRW,1024.33,2,#38BDF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Chile,CHL,🇨🇱,Americas,CLP,559.7675,3,#EF4444,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Costa Rica,CRI,🇨🇷,Americas,CRC,477.7867,4,#22C55E,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Hungary,HUN,🇭🇺,Europe,HUF,199.5825,5,#EC4899,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Slovenia,SVN,🇸🇮,Europe,SIT,192.7055,6,#65A30D,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Japan,JPN,🇯🇵,Asia,JPY,110.2182,7,#FB7185,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Iceland,ISL,🇮🇸,Europe,ISK,62.9817,8,#0EA5E9,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Slovak Republic,SVK,🇸🇰,Europe,SKK,31.0182,9,#2563EB,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Czechia,CZE,🇨🇿,Europe,CZK,23.9574,10,#818CF8,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Estonia,EST,🇪🇪,Europe,EEK,12.5838,11,#A855F7,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Mexico,MEX,🇲🇽,Americas,MXN,10.8979,12,#2DD4BF,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Sweden,SWE,🇸🇪,Europe,SEK,7.473088,13,#FDE047,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Norway,NOR,🇳🇴,Europe,NOK,6.442500,14,#F87171,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Denmark,DNK,🇩🇰,Europe,DKK,5.996910,15,#14B8A6,"World Bank PA.NUS.FCRF, annual average official exchange rate"
2005,Israel,ISR,🇮🇱,Middle East,ILS,4.487700,16,#6366F1,"World Bank PA.NUS.FCRF, annual average official exchange rate"
