schedule_id,official_date,year,month,visibility_date,match_window_end_date
id1,1992-12-31,1992,12,,
id2,1993-08-08,1993,08,,
id3,1993-09-23,1993,09,,
id4,1993-10-22,1993,10,,
id5,1993-11-19,1993,11,,
id6,1993-12-23,1993,12,,
id7,1994-02-15,1994,02,,
id8,1994-03-15,1994,03,,
id9,1994-04-19,1994,04,,
id10,1994-05-17,1994,05,,
id11,1994-06-14,1994,06,,
id12,1994-07-21,1994,07,,
id13,1994-09-13,1994,09,,
id14,1994-10-25,1994,10,,
id15,1994-11-22,1994,11,,
id16,1994-12-20,1994,12,,
id17,1995-02-20,1995,02,,
id18,1995-04-19,1995,04,,
id19,1995-05-16,1995,05,,
id20,1995-06-13,1995,06,,
id21,1995-07-25,1995,07,,
id22,1995-08-22,1995,08,,
id23,1995-09-19,1995,09,,
id24,1995-10-17,1995,10,,
id25,1995-11-21,1995,11,,
id26,1995-12-19,1995,12,,
id27,1996-01-24,1996,01,,
id28,1996-02-21,1996,02,,
id29,1996-04-24,1996,04,,
id30,1996-05-22,1996,05,,
id31,1996-07-03,1996,07,,
id32,1996-08-28,1996,08,,
id33,1996-09-25,1996,09,,
id34,1996-10-23,1996,10,,
id35,1996-11-20,1996,11,,
id36,1996-12-18,1996,12,,
id37,1997-02-27,1997,02,,
id38,1997-04-09,1997,04,,
id39,1997-05-14,1997,05,,
id40,1997-06-18,1997,06,,
id41,1997-07-16,1997,07,,
id42,1997-08-20,1997,08,,
id43,1997-09-17,1997,09,,
id44,1997-10-17,1997,10,,
id45,1997-11-19,1997,11,,
id46,1997-12-23,1997,12,,
id47,1998-02-18,1998,02,,
id48,1998-03-18,1998,03,,
id49,1998-04-22,1998,04,,
id50,1998-05-20,1998,05,,
id51,1998-07-15,1998,07,,
id52,1998-08-19,1998,08,,
id53,1998-09-16,1998,09,,
id54,1998-10-21,1998,10,,
id55,1998-11-18,1998,11,,
id56,1998-12-23,1998,12,,
id57,1999-01-27,1999,01,,
id58,1999-02-24,1999,02,,
id59,1999-03-24,1999,03,,
id60,1999-04-21,1999,04,,
id61,1999-05-19,1999,05,,
id62,1999-06-16,1999,06,,
id63,1999-07-21,1999,07,,
id64,1999-08-18,1999,08,,
id65,1999-09-15,1999,09,,
id66,1999-10-13,1999,10,,
id67,1999-11-17,1999,11,,
id68,1999-12-22,1999,12,,
id69,2000-01-19,2000,01,,
id70,2000-02-16,2000,02,,
id71,2000-03-15,2000,03,,
id72,2000-04-12,2000,04,,
id73,2000-05-10,2000,05,,
id74,2000-06-07,2000,06,,
id75,2000-07-05,2000,07,,
id76,2000-08-09,2000,08,,
id77,2000-09-06,2000,09,,
id78,2000-10-11,2000,10,,
id79,2000-11-15,2000,11,,
id80,2000-12-20,2000,12,,
id81,2001-01-17,2001,01,,
id82,2001-02-14,2001,02,,
id83,2001-03-14,2001,03,,
id84,2001-04-11,2001,04,,
id85,2001-05-16,2001,05,,
id86,2001-06-20,2001,06,,
id87,2001-07-18,2001,07,,
id88,2001-08-22,2001,08,,
id89,2001-09-19,2001,09,,
id90,2001-10-17,2001,10,,
id91,2001-11-21,2001,11,,
id92,2001-12-19,2001,12,,
id93,2002-01-16,2002,01,,
id94,2002-02-13,2002,02,,
id95,2002-03-20,2002,03,,
id96,2002-04-17,2002,04,,
id97,2002-05-15,2002,05,,
id98,2002-07-03,2002,07,,
id99,2002-08-14,2002,08,,
id100,2002-09-18,2002,09,,
id101,2002-10-23,2002,10,,
id102,2002-11-20,2002,11,,
id103,2002-12-18,2002,12,,
id105,2003-01-15,2003,01,,
id106,2003-02-19,2003,02,,
id107,2003-03-26,2003,03,,
id108,2003-04-23,2003,04,,
id109,2003-05-21,2003,05,,
id110,2003-06-25,2003,06,,
id111,2003-07-30,2003,07,,
id112,2003-08-27,2003,08,,
id113,2003-09-24,2003,09,,
id114,2003-10-22,2003,10,,
id115,2003-11-19,2003,11,,
id116,2003-12-15,2003,12,,
id117,2004-01-14,2004,01,,
id118,2004-02-18,2004,02,,
id119,2004-03-17,2004,03,,
id120,2004-04-14,2004,04,,
id121,2004-05-12,2004,05,,
id122,2004-06-09,2004,06,,
id123,2004-07-07,2004,07,,
id124,2004-08-04,2004,08,,
id125,2004-09-01,2004,09,,
id126,2004-10-06,2004,10,,
id127,2004-11-10,2004,11,,
id128,2004-12-20,2004,12,,
id129,2005-01-19,2005,01,,
id130,2005-02-16,2005,02,,
id131,2005-03-23,2005,03,,
id132,2005-04-20,2005,04,,
id133,2005-05-18,2005,05,,
id134,2005-06-15,2005,06,,
id135,2005-07-20,2005,07,,
id136,2005-08-17,2005,08,,
id137,2005-09-12,2005,09,,
id138,2005-10-17,2005,10,,
id139,2005-11-21,2005,11,,
id140,2005-12-16,2005,12,,
id141,2006-01-18,2006,01,,
id142,2006-02-15,2006,02,,
id143,2006-03-15,2006,03,,
id144,2006-04-19,2006,04,,
id145,2006-05-17,2006,05,,
id146,2006-07-12,2006,07,,
id147,2006-08-16,2006,08,,
id148,2006-09-13,2006,09,,
id149,2006-10-18,2006,10,,
