date,year,quarter,month,rank,player_id,name,player_code,country,position,sub_position,club,competition_id,value_eur,value_million_eur,valuation_date,valuation_age_days,valuation_source,color,image_url,player_url
2000-01-01,2000,1,1,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,11,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-02-01,2000,1,2,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,40,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-03-01,2000,1,3,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,71,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-04-01,2000,2,4,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,101,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-05-01,2000,2,5,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,132,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-06-01,2000,2,6,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,162,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-07-01,2000,3,7,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,193,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-08-01,2000,3,8,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,224,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-09-01,2000,3,9,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,254,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-10-01,2000,4,10,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,285,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-11-01,2000,4,11,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,315,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-12-01,2000,4,12,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,346,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-01-01,2001,1,1,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,377,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-02-01,2001,1,2,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,405,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-03-01,2001,1,3,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,436,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-04-01,2001,2,4,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,466,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-05-01,2001,2,5,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,497,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-06-01,2001,2,6,1,405973,Fadel Gobitaka,fadel-gobitaka,Togo,Attack,Left Winger,Unknown,BE1,150000,0.15,2000-01-20,527,player_valuations,#45E372,https://img.a.transfermarkt.technology/portrait/header/405973-1600846904.jpg?lm=1,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-07-01,2001,3,7,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,11,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2001-08-01,2001,3,8,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,42,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2001-09-01,2001,3,9,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,72,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2001-10-01,2001,4,10,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,103,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2001-11-01,2001,4,11,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,133,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2001-12-01,2001,4,12,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,164,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2002-01-01,2002,1,1,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,195,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2002-02-01,2002,1,2,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,223,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2002-03-01,2002,1,3,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,254,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2002-04-01,2002,2,4,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,284,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2002-05-01,2002,2,5,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,315,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2002-06-01,2002,2,6,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,345,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2002-07-01,2002,3,7,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,376,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2002-08-01,2002,3,8,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,407,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2002-09-01,2002,3,9,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,437,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
2002-10-01,2002,4,10,1,342216,Julien Serrano,julien-serrano,France,Defender,Left-Back,Unknown,SC1,100000,0.1,2001-07-20,468,player_valuations,#31D07D,https://img.a.transfermarkt.technology/portrait/header/342216-1656594383.jpg?lm=1,https://www.transfermarkt.co.uk/julien-serrano/profil/spieler/342216
