date,year,quarter,month,name,code,region,value,rank,color,flag,playerId,playerCode,club,position,valuationDate,valuationSource,valueEur
2000-01-01,2000,1,1,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-02-01,2000,1,2,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-03-01,2000,1,3,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-04-01,2000,2,4,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-05-01,2000,2,5,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-06-01,2000,2,6,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-07-01,2000,3,7,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-08-01,2000,3,8,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-09-01,2000,3,9,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-10-01,2000,4,10,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-11-01,2000,4,11,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2000-12-01,2000,4,12,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2001-01-01,2001,1,1,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2001-02-01,2001,1,2,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2001-03-01,2001,1,3,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2001-04-01,2001,2,4,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2001-05-01,2001,2,5,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2001-06-01,2001,2,6,Fadel Gobitaka,P405973,Togo,0.15,1,#45E372,,405973,fadel-gobitaka,Unknown,Attack,2000-01-20,player_valuations,150000
2001-07-01,2001,3,7,Julien Serrano,P342216,France,0.1,1,#31D07D,,342216,julien-serrano,Unknown,Defender,2001-07-20,player_valuations,100000
2001-08-01,2001,3,8,Julien Serrano,P342216,France,0.1,1,#31D07D,,342216,julien-serrano,Unknown,Defender,2001-07-20,player_valuations,100000
2001-09-01,2001,3,9,Julien Serrano,P342216,France,0.1,1,#31D07D,,342216,julien-serrano,Unknown,Defender,2001-07-20,player_valuations,100000
2001-10-01,2001,4,10,Julien Serrano,P342216,France,0.1,1,#31D07D,,342216,julien-serrano,Unknown,Defender,2001-07-20,player_valuations,100000
