time,open,high,low,close,volume,volumeRaw,changePercent
1980-04-01,139.99,139.99,139.99,139.99,,,6.86
1980-05-01,150.45,150.45,150.45,150.45,,,7.47
1980-06-01,157.78,157.78,157.78,157.78,,,4.87
1980-07-01,171.81,171.81,171.81,171.81,,,8.89
1980-08-01,181.52,181.52,181.52,181.52,,,5.65
1980-09-01,187.76,187.76,187.76,187.76,,,3.44
1980-10-01,192.78,192.78,192.78,192.78,,,2.67
1980-11-01,208.15,208.15,208.15,208.15,,,7.97
1980-12-01,202.34,202.34,202.34,202.34,,,-2.79
1981-01-01,197.81,197.81,197.81,197.81,,,-2.24
1981-02-01,198.01,198.01,198.01,198.01,,,0.1
1981-03-01,210.18,210.18,210.18,210.18,,,6.15
1981-04-01,216.74,216.74,216.74,216.74,,,3.12
1981-05-01,223.47,223.47,223.47,223.47,,,3.11
1981-06-01,215.75,215.75,215.75,215.75,,,-3.45
1981-07-01,211.63,211.63,211.63,211.63,,,-1.91
1981-08-01,195.75,195.75,195.75,195.75,,,-7.5
1981-09-01,180.03,180.03,180.03,180.03,,,-8.03
1981-10-01,195.24,195.24,195.24,195.24,,,8.45
1981-11-01,201.37,201.37,201.37,201.37,,,3.14
1981-12-01,195.84,195.84,195.84,195.84,,,-2.75
1982-01-01,188.39,188.39,188.39,188.39,,,-3.8
1982-02-01,179.43,179.43,179.43,179.43,,,-4.76
1982-03-01,175.65,175.65,175.65,175.65,,,-2.11
1982-04-01,184.7,184.7,184.7,184.7,,,5.15
1982-05-01,178.54,178.54,178.54,178.54,,,-3.34
1982-06-01,171.3,171.3,171.3,171.3,,,-4.06
1982-07-01,167.35,167.35,167.35,167.35,,,-2.31
1982-08-01,177.71,177.71,177.71,177.71,,,6.19
1982-09-01,187.65,189.62,185.53,187.65,,,5.59
1982-10-01,212.63,215.29,187.79,212.63,,,13.31
1982-11-01,232.31,233.13,212.64,232.31,,,9.26
1982-12-01,232.41,241.63,224.91,232.41,,,0.04
1983-01-01,248.35,248.35,229.88,248.35,,,6.86
1983-02-01,260.67,263.21,246.89,260.67,,,4.96
1983-03-01,270.8,272.24,260.62,270.8,,,3.89
1983-04-01,293.06,293.06,266.21,293.06,,,8.22
1983-05-01,308.73,312.18,288.56,308.73,,,5.35
1983-06-01,318.7,329.11,307.1,318.7,,,3.23
1983-07-01,303.96,321.58,303.09,303.96,,,-4.63
1983-08-01,292.42,304.34,288.42,292.42,,,-3.8
1983-09-01,296.65,305.06,292.91,296.65,,,1.45
1983-10-01,274.55,297.81,274.16,274.55,,,-7.45
1983-11-01,285.67,289.6,269.42,285.67,,,4.05
1983-12-01,278.6,286.12,274.36,278.6,,,-2.47
1984-01-01,268.43,288.41,267.75,268.43,,,-3.65
1984-02-01,252.57,268.79,246.03,252.57,,,-5.91
1984-03-01,250.78,255.67,248.49,250.78,,,-0.71
1984-04-01,247.44,251.28,240.7,247.44,,,-1.33
1984-05-01,232.82,253.45,230.22,232.82,,,-5.91
1984-06-01,239.65,241.52,232.8,239.65,,,2.93
1984-07-01,229.7,239.77,225.29,229.7,,,-4.15
1984-08-01,254.64,255.29,229.62,254.64,,,10.86
1984-09-01,249.94,255.87,249.36,249.94,,,-1.85
1984-10-01,247.03,252.59,242.2,247.03,,,-1.16
1984-11-01,242.53,250.96,242.19,242.53,,,-1.82
1984-12-01,247.35,247.41,237.58,247.35,,,1.99
1985-01-01,278.7,278.95,245.7,278.7,,,12.67
1985-02-01,284.17,288.87,277.69,284.17,,,1.96
1985-03-01,279.2,287.96,275.61,279.2,,,-1.75
1985-04-01,280.56,284.79,276.21,280.56,,,0.49
1985-05-01,290.8,294.8,278.76,290.8,,,3.65
1985-06-01,296.2,296.2,286.69,296.2,,,1.86
1985-07-01,301.29,307.94,295.54,301.29,,,1.72
1985-08-01,297.71,304.58,295.52,297.71,,,-1.19
1985-09-01,280.33,297.73,279.48,280.33,,,-5.84
1985-10-01,292.54,292.78,276.61,292.54,,,4.36
1985-11-01,313.95,314.05,292.5,313.95,,,7.32
1985-12-01,324.93,325.61,312.3,324.93,,,3.5
1986-01-01,335.77,335.82,322.06,335.77,,,3.34
1986-02-01,359.53,360,335.77,359.53,,,7.08
1986-03-01,374.72,374.74,359.07,374.72,,,4.22
1986-04-01,383.24,392.95,368,383.24,,,2.27
1986-05-01,400.16,400.39,381.45,400.16,,,4.41
1986-06-01,405.51,405.51,391.75,405.51,,,1.34
1986-07-01,371.37,411.33,369.11,371.37,,,-8.42
1986-08-01,382.86,383.22,364.36,382.86,,,3.09
1986-09-01,350.67,383.99,342.28,350.67,,,-8.41
1986-10-01,360.77,361.6,351.22,360.77,,,2.88
1986-11-01,359.57,362.48,349.09,359.57,,,-0.33
1986-12-01,348.83,364.65,347,348.83,,,-2.99
1987-01-01,392.06,402.33,348.81,392.06,,,12.39
1987-02-01,424.97,424.97,392.04,424.97,,,8.39
1987-03-01,430.05,439.99,422.92,430.05,,,1.2
1987-04-01,417.81,439.16,407.35,417.81,,,-2.85
1987-05-01,416.54,424.83,404.52,416.54,,,-0.3
1987-06-01,424.67,429.89,413.53,424.67,,,1.95
1987-07-01,434.93,434.94,423.73,434.93,,,2.42
1987-08-01,454.97,455.78,431.17,454.97,,,4.61
1987-09-01,444.29,456.27,433.86,444.29,,,-2.35
1987-10-01,323.3,453.88,288.49,323.3,,,-27.23
1987-11-01,305.16,328.82,301.62,305.16,,,-5.61
1987-12-01,330.47,333.23,291.86,330.47,,,8.29
1988-01-01,344.66,350.3,329,344.66,,,4.29
1988-02-01,366.95,366.99,343.48,366.95,,,6.47
1988-03-01,374.64,382.61,366.68,374.64,,,2.1
1988-04-01,379.23,384.26,369.82,379.23,,,1.23
