year,rank,date,name,code,region,value,color,platform_scope,metric_context,source_type,confidence,source_url,notes
2025,1,2025-10-11,Roblox - Steal a Brainrot,ROBLOX_STEALBRAINROT,Roblox,25836222,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://roblox.fandom.com/wiki/List_of_games_by_peak_player_count,Roblox experience peak CCU not standalone game client
2025,2,2025-08-23,Roblox - Grow a Garden,ROBLOX_GROWGARDEN,Roblox,22375597,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://roblox.fandom.com/wiki/List_of_games_by_peak_player_count,Roblox experience peak CCU not standalone game client
2020,3,2020-12-01,Fortnite,FORTNITE,Global,15300000,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://thewaltdisneycompany.com/fortnites-nexus-war-with-galactus-event-draws-15-3-million-concurrent-players/,Marvel Nexus War with Galactus event peak
2025,4,2025-10-04,Roblox - 99 Nights in the Forest,ROBLOX_99NIGHTS,Roblox,14153173,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2024,5,2024-11-30,Fortnite,FORTNITE,Global,14000000,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://www.espn.com/gaming/story/_/id/42708537/fortnite-remix-finale-event-breaks-concurrent-player-record-snoop-dogg-eminem-ice-spice-juice-wrld,Remix The Finale reported over 14M in-game concurrent players
2023,6,2023-12-02,Fortnite,FORTNITE,Global,11616374,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://www.theverge.com/2023/12/4/23987661/fortnite-big-bang-event-players-queue-issues,Eminem Big Bang event peak
2019,7,2019-02-02,Fortnite,FORTNITE,Global,10700000,#8B5CF6,Epic Games ecosystem,event concurrent players,company_report,medium_high,https://www.theverge.com/2019/2/21/18234980/fortnite-marshmello-concert-viewer-numbers,Marshmello in-game event peak
2025,8,2025-11-29,Fortnite,FORTNITE,Global,10500000,#8B5CF6,Epic Games ecosystem,event concurrent players,press_report,medium,https://www.pcgamer.com/games/third-person-shooter/fortnites-latest-live-event-drew-in-10-5-million-players-to-see-godzilla-hatsune-miku-homer-simpson-and-countless-other-characters-fight-a-giant-squid-man/,Zero Hour live event drew 10.5M in-game players
2025,9,2025-10-11,Roblox - Plants Vs Brainrots,ROBLOX_PLANTSVSBRAINROTS,Roblox,8654525,#00A2FF,Roblox experience,event concurrent users,platform_leaderboard,medium,https://en.wikipedia.org/wiki/List_of_Roblox_games_by_peak_concurrent_users,Roblox experience peak CCU not standalone game client
2018,10,2018-11-08,Fortnite,FORTNITE,Global,8300000,#8B5CF6,Epic Games ecosystem,reported peak concurrent players,company_report,medium_high,https://en.wikipedia.org/wiki/Fortnite_Battle_Royale,Epic-reported peak concurrent record
