year,tournament,opening_date,group,country,rank_by_total_value,coach,player_count,matched_player_count,valued_player_count,before_or_on_valuation_count,after_valuation_count,missing_value_count,value_coverage_percent,total_value_eur,total_value_million_eur,average_value_million_eur,median_value_million_eur,top_player_name,top_player_value_million_eur,source_url
1998,1998 FIFA World Cup,1998-06-10,Group G,England,1,Glenn Hoddle,22,4,4,0,4,18,18.2,120000000,120,5.5,27.5,David Beckham,40,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group B,Cameroon,2,Claude Le Roy,22,1,1,0,1,21,4.5,24000000,24,1.1,24,Samuel Eto'o,24,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group F,FR Yugoslavia,3,Slobodan Santrač,22,1,1,0,1,21,4.5,22000000,22,1,22,Dejan Stanković,22,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group B,Italy,4,Cesare Maldini,22,1,1,0,1,21,4.5,20000000,20,0.9,20,Gianluigi Buffon,20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group H,Argentina,5,Daniel Passarella,22,2,1,0,1,21,4.5,11000000,11,0.5,11,Javier Zanetti,11,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group C,Denmark,6,Bo Johansson,22,1,1,0,1,21,4.5,7000000,7,0.3,7,Martin Jørgensen,7,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group F,United States,7,Steve Sampson,22,1,1,0,1,21,4.5,2000000,2,0.1,2,Brad Friedel,2,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,22,6,5,0,5,17,22.7,1125000,1.1,0.1,0.3,Júnior Baiano,0.4,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group H,Croatia,9,Miroslav Blažević,22,1,1,0,1,21,4.5,850000,0.9,0,0.9,Anthony Šerić,0.9,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group E,Mexico,10,Manuel Lapuente,22,2,1,0,1,21,4.5,300000,0.3,0,0.3,Luis Hernández,0.3,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group C,France,11,Aimé Jacquet,22,1,1,0,1,21,4.5,150000,0.2,0,0.2,Patrick Vieira,0.2,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group D,Bulgaria,12,Hristo Bonev,22,1,1,0,1,21,4.5,50000,0.1,0,0.1,Ilian Iliev,0.1,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group B,Austria,13,Herbert Prohaska,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group E,Belgium,14,Georges Leekens,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group B,Chile,15,Nelson Acosta,22,2,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group G,Colombia,16,Hernán Darío Gómez,22,1,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group F,Germany,17,Berti Vogts,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group F,Iran,18,Jalal Talebi,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group H,Jamaica,19,Renê Simões,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group H,Japan,20,Takeshi Okada,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Morocco,21,Henri Michel,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group E,Netherlands,22,Guus Hiddink,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group D,Nigeria,23,Bora Milutinović,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Norway,24,Egil Olsen,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group D,Paraguay,25,Paulo César Carpegiani,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group G,Romania,26,Anghel Iordănescu,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group C,Saudi Arabia,27,"Carlos Alberto Parreira (fired after two matches, replaced by Mohammed Al-Kharashy for the final match)",22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Scotland,28,Craig Brown,22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group C,South Africa,29,Philippe Troussier,23,0,0,0,0,23,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group E,South Korea,30,"Cha Bum-kun (fired after two matches, replaced by Kim Pyung-seok for the final match)",22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group D,Spain,31,Javier Clemente,22,1,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group G,Tunisia,32,"Henryk Kasperczak (fired after two matches, replaced by Ali Selmi for the final match)",22,0,0,0,0,22,0,0,0,0,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group F,England,1,Sven-Göran Eriksson,23,9,9,0,9,14,39.1,165000000,165,7.2,16,David Beckham,40,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group B,Spain,2,José Antonio Camacho,23,9,8,0,8,15,34.8,93500000,93.5,4.1,11,Carles Puyol,22.5,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group F,Argentina,3,Marcelo Bielsa,23,3,3,0,3,20,13,61000000,61,2.7,25,Walter Samuel,25,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group G,Italy,4,Giovanni Trapattoni,23,3,3,0,3,20,13,58000000,58,2.5,20,Francesco Totti,35,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group C,Brazil,5,Luiz Felipe Scolari,23,7,7,0,7,16,30.4,40075000,40.1,1.7,0.3,Kaká,26,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group F,Sweden,6,Lars Lagerbäck and Tommy Söderberg,23,3,3,0,3,20,13,32750000,32.8,1.4,7.3,Zlatan Ibrahimović,22,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group E,Cameroon,7,Winfried Schäfer,23,3,3,0,3,20,13,32250000,32.3,1.4,7,Samuel Eto'o,24,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group E,Republic of Ireland,8,Mick McCarthy,23,5,5,0,5,18,21.7,31750000,31.8,1.4,3.8,Damien Duff,15,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group H,Belgium,9,Robert Waseige,23,4,4,0,4,19,17.4,25000000,25,1.1,6.5,Daniel Van Buyten,8.5,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group E,Germany,10,Rudi Völler,23,4,4,0,4,19,17.4,25000000,25,1.1,6,Christoph Metzelder,9.5,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group A,Denmark,11,Morten Olsen,23,6,6,0,6,17,26.1,23750000,23.8,1,4.3,Martin Jørgensen,7,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group A,France,12,Roger Lemerre,23,2,2,0,2,21,8.7,20150000,20.2,0.9,10.1,Djibril Cissé,20,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group F,Nigeria,13,Festus Onigbinde,23,6,6,0,6,17,26.1,19650000,19.7,0.9,2.5,Joseph Yobo,9,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group C,Turkey,14,Şenol Güneş,23,1,1,0,1,22,4.3,12000000,12,0.5,12,Emre Belözoğlu,12,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group D,Portugal,15,António Oliveira,23,5,5,0,5,18,21.7,11825000,11.8,0.5,0.2,Hugo Viana,7,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group H,Russia,16,Oleg Romantsev,23,5,5,0,5,18,21.7,11150000,11.2,0.5,0.5,Marat Izmailov,6,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group A,Uruguay,17,Víctor Púa,23,3,3,0,3,20,13,9750000,9.8,0.4,4.3,Gustavo Munúa,5,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group A,Senegal,18,Bruno Metsu,23,3,3,0,3,20,13,8250000,8.3,0.4,3,Henri Camara,3.3,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group G,Croatia,19,Mirko Jozić,23,3,3,0,3,20,13,7600000,7.6,0.3,1.5,Ivica Olić,5.3,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group B,Paraguay,20,Cesare Maldini,23,1,1,0,1,22,4.3,7500000,7.5,0.3,7.5,Roque Santa Cruz,7.5,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group B,South Africa,21,Jomo Sono,23,2,1,0,1,22,4.3,5000000,5,0.2,5,Steven Pienaar,5,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group D,United States,22,Bruce Arena,23,1,1,0,1,22,4.3,2000000,2,0.1,2,Brad Friedel,2,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group G,Mexico,23,Javier Aguirre,23,3,2,0,2,21,8.7,700000,0.7,0,0.4,Alberto Rodríguez,0.4,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group D,South Korea,24,Guus Hiddink,23,1,1,0,1,22,4.3,500000,0.5,0,0.5,Cha Du-ri,0.5,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group C,Costa Rica,25,Alexandre Guimarães,23,1,1,0,1,22,4.3,400000,0.4,0,0.4,Carlos Castro,0.4,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group G,Ecuador,26,Hernán Darío Gómez,23,1,1,0,1,22,4.3,400000,0.4,0,0.4,José Francisco Cevallos,0.4,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group C,China PR,27,Bora Milutinović,23,0,0,0,0,23,0,0,0,0,,,,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group H,Japan,28,Philippe Troussier,23,0,0,0,0,23,0,0,0,0,,,,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group D,Poland,29,Jerzy Engel,23,1,0,0,0,23,0,0,0,0,,,,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group E,Saudi Arabia,30,Nasser Al-Johar,23,0,0,0,0,23,0,0,0,0,,,,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group B,Slovenia,31,Srečko Katanec,23,0,0,0,0,23,0,0,0,0,,,,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2002,2002 FIFA World Cup,2002-05-31,Group H,Tunisia,32,Ammar Souayah,23,0,0,0,0,23,0,0,0,0,,,,https://en.wikipedia.org/wiki/2002_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group B,England,1,Sven-Göran Eriksson,23,19,19,19,0,4,82.6,307350000,307.4,13.4,13,Wayne Rooney,36,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group H,Spain,2,Luis Aragonés,23,18,17,16,1,6,73.9,273050000,273.1,11.9,17.5,Xavi,28,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group E,Italy,3,Marcello Lippi,23,11,11,11,0,12,47.8,217500000,217.5,9.5,18,Francesco Totti,37,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group C,Argentina,4,José Pekerman,23,13,13,13,0,10,56.5,133300000,133.3,5.8,11.5,Esteban Cambiasso,19,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group C,Netherlands,5,Marco van Basten,23,12,12,12,0,11,52.2,128250000,128.3,5.6,8.6,Arjen Robben,27.5,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group F,Brazil,6,Carlos Alberto Parreira,23,12,11,7,4,12,47.8,126025000,126,5.5,10,Kaká,35,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group A,Germany,7,Jürgen Klinsmann,23,14,14,14,0,9,60.9,99250000,99.3,4.3,6.8,Miroslav Klose,20,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group D,Portugal,8,Luiz Felipe Scolari,23,10,10,9,1,13,43.5,95550000,95.6,4.2,6,Cristiano Ronaldo,26.5,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group G,France,9,Raymond Domenech,23,11,11,10,1,12,47.8,90650000,90.7,3.9,10,William Gallas,12,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group E,Czech Republic,10,Karel Brückner,23,10,10,9,1,13,43.5,71250000,71.3,3.1,5.5,Petr Čech,22,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group C,Ivory Coast,11,Henri Michel,23,11,11,11,0,12,47.8,70550000,70.6,3.1,4.8,Didier Drogba,26,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
2006,2006 FIFA World Cup,2006-06-09,Group B,Sweden,12,Lars Lagerbäck,23,7,7,7,0,16,30.4,53750000,53.8,2.3,4.5,Zlatan Ibrahimović,25,https://en.wikipedia.org/wiki/2006_FIFA_World_Cup_squads
