year,country,player_name,birth_date,position,squad_club,match_status,match_confidence,match_reason,transfermarkt_player_id,transfermarkt_name,value_eur,valuation_date,squad_source_url
1998,Brazil,Cláudio Taffarel,1966-05-08,GK,Atlético Mineiro,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Aldair,1965-11-30,DF,Roma,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,César Sampaio,1968-03-31,MF,Yokohama Flügels,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Roberto Carlos,1973-04-10,DF,Real Madrid,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Giovanni,1972-02-04,MF,Barcelona,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Dunga,1963-10-31,MF,Júbilo Iwata,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Ronaldo,1976-09-22,FW,Inter Milan,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Emerson,1976-04-04,MF,Bayer Leverkusen,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Carlos Germano,1970-08-14,GK,Vasco da Gama,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Zé Carlos,1968-11-14,DF,São Paulo,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Marcelo Gonçalves,1966-02-22,DF,Botafogo,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,André Cruz,1968-09-20,DF,Milan,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Zé Roberto,1974-07-06,MF,Flamengo,matched,0.7,unique_name,305428,Zé Roberto,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Doriva,1972-05-28,MF,Porto,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Leonardo,1969-09-05,MF,Milan,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Denílson,1977-08-24,MF,São Paulo,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Brazil,Edmundo,1971-04-02,FW,Fiorentina,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Abdelkader El Brazi,1964-11-05,GK,FAR Rabat,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Abdelilah Saber,1974-04-21,DF,Sporting CP,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Abdelkrim El Hadrioui,1972-03-06,DF,Benfica,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Youssef Rossi,1973-06-28,DF,Rennes,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Smahi Triki,1967-08-01,DF,Lausanne,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Noureddine Naybet,1970-02-10,DF,Deportivo La Coruña,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Mustapha Hadji,1971-11-16,MF,Deportivo La Coruña,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Saïd Chiba,1970-09-18,MF,Compostela,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Abdeljalil Hadda,1972-03-21,FW,Club Africain,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Abderrahim Ouakili,1970-12-11,FW,1860 Munich,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Ali Elkhattabi,1977-01-17,MF,Heerenveen,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Driss Benzekri,1970-12-31,GK,RS Settat,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,Morocco,Rachid Neqrouz,1972-04-10,DF,Bari,unmatched,0,no_confident_match,,,0,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
