year,tournament,opening_date,group,country,country_rank_by_total_value,coach,player_order,shirt_number,position,player_name,birth_date,age,is_captain,squad_club,caps,goals,transfermarkt_player_id,transfermarkt_name,transfermarkt_country,transfermarkt_position,transfermarkt_sub_position,match_status,match_confidence,match_reason,value_eur,value_million_eur,valuation_date,valuation_method,valuation_day_offset,valuation_source,valuation_club,valuation_competition_id,transfermarkt_player_url,transfermarkt_image_url,squad_source_url
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,1,1,GK,Cláudio Taffarel,1966-05-08,32,false,Atlético Mineiro,94,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,2,2,DF,Cafu,1970-06-07,28,false,Roma,64,0,203655,Cafú,Portugal,Midfield,Central Midfield,matched,0.7,unique_name,300000,0.3,2012-11-10,first_after_opening,5267,player_valuations,SL Benfica B,TR1,https://www.transfermarkt.co.uk/cafu/profil/spieler/203655,https://img.a.transfermarkt.technology/portrait/header/203655-1759930957.jpg?lm=1,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,3,3,DF,Aldair,1965-11-30,32,false,Roma,66,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,4,4,DF,Júnior Baiano,1970-03-14,28,false,Flamengo,17,0,77752,Baiano,Brazil,Defender,Right-Back,matched,0.7,unique_name,400000,0.4,2008-10-13,first_after_opening,3778,player_valuations,CF Os Belenenses,TR1,https://www.transfermarkt.co.uk/baiano/profil/spieler/77752,https://img.a.transfermarkt.technology/portrait/header/77752-1567776643.png?lm=1,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,5,5,MF,César Sampaio,1968-03-31,30,false,Yokohama Flügels,34,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,6,6,DF,Roberto Carlos,1973-04-10,25,false,Real Madrid,46,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,7,7,MF,Giovanni,1972-02-04,26,false,Barcelona,14,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,8,8,MF,Dunga,1963-10-31,34,true,Júbilo Iwata,84,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,9,9,FW,Ronaldo,1976-09-22,21,false,Inter Milan,37,0,,,,,,unmatched,0,no_confident_match,0,0,,zero_filled_missing,,,,,,,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
1998,1998 FIFA World Cup,1998-06-10,Group A,Brazil,8,Mário Zagallo,10,10,MF,Rivaldo,1972-04-19,26,false,Barcelona,15,0,975128,Rivaldo,Cape Verde,Defender,Right-Back,matched,0.7,unique_name,300000,0.3,2024-10-08,first_after_opening,9617,player_valuations,SC Farense,PO1,https://www.transfermarkt.co.uk/rivaldo/profil/spieler/975128,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup_squads
