year,tournament,date,host,champion,country,code,country_rank,country_total_million_eur,player_rank,player_id,player_name,player_code,position,club,value_million_eur,value_eur,valuation_date,valuation_source,image_url,player_url
2006,2006 Germany,2006-06-01,Germany,Italy,England,ENG,1,341.2,1,3163,Frank Lampard,frank-lampard,Midfield,Chelsea FC,38.5,38500000,2006-06-14,player_valuations,https://img.a.transfermarkt.technology/portrait/header/3163-1674475335.jpg?lm=1,https://www.transfermarkt.co.uk/frank-lampard/profil/spieler/3163
2006,2006 Germany,2006-06-01,Germany,Italy,England,ENG,1,341.2,2,3332,Wayne Rooney,wayne-rooney,Attack,Manchester United,36,36000000,2006-06-14,player_valuations,https://img.a.transfermarkt.technology/portrait/header/3332-1551295290.jpg?lm=1,https://www.transfermarkt.co.uk/wayne-rooney/profil/spieler/3332
2006,2006 Germany,2006-06-01,Germany,Italy,England,ENG,1,341.2,3,3109,Steven Gerrard,steven-gerrard,Midfield,Liverpool FC,34,34000000,2006-06-14,player_valuations,https://img.a.transfermarkt.technology/portrait/header/3109-1464112254.jpg?lm=1,https://www.transfermarkt.co.uk/steven-gerrard/profil/spieler/3109
2006,2006 Germany,2006-06-01,Germany,Italy,England,ENG,1,341.2,4,3160,John Terry,john-terry,Defender,Chelsea FC,30,30000000,2006-06-14,player_valuations,https://img.a.transfermarkt.technology/portrait/header/3160-1462887884.jpg?lm=1,https://www.transfermarkt.co.uk/john-terry/profil/spieler/3160
2006,2006 Germany,2006-06-01,Germany,Italy,England,ENG,1,341.2,5,3235,Rio Ferdinand,rio-ferdinand,Defender,Manchester United,25,25000000,2006-06-14,player_valuations,https://img.a.transfermarkt.technology/portrait/header/3235-1592469934.jpg?lm=1,https://www.transfermarkt.co.uk/rio-ferdinand/profil/spieler/3235
2006,2006 Germany,2006-06-01,Germany,Italy,England,ENG,1,341.2,6,3139,David Beckham,david-beckham,Midfield,Real Madrid,22,22000000,2006-01-12,player_valuations,https://img.a.transfermarkt.technology/portrait/header/3139-1459504284.jpg?lm=1,https://www.transfermarkt.co.uk/david-beckham/profil/spieler/3139
2006,2006 Germany,2006-06-01,Germany,Italy,England,ENG,1,341.2,7,1397,Michael Owen,michael-owen,Attack,Newcastle United,20,20000000,2006-06-14,player_valuations,https://img.a.transfermarkt.technology/portrait/header/1397-1476361136.jpg?lm=1,https://www.transfermarkt.co.uk/michael-owen/profil/spieler/1397
2006,2006 Germany,2006-06-01,Germany,Italy,England,ENG,1,341.2,8,3182,Ashley Cole,ashley-cole,Defender,Arsenal FC,17,17000000,2006-06-14,player_valuations,https://img.a.transfermarkt.technology/portrait/header/3182-1683297696.jpg?lm=1,https://www.transfermarkt.co.uk/ashley-cole/profil/spieler/3182
2006,2006 Germany,2006-06-01,Germany,Italy,Italy,ITA,2,230,1,5958,Francesco Totti,francesco-totti,Attack,AS Roma,37,37000000,2006-04-02,player_valuations,https://img.a.transfermarkt.technology/portrait/header/5958-1448466835.jpg?lm=1,https://www.transfermarkt.co.uk/francesco-totti/profil/spieler/5958
2006,2006 Germany,2006-06-01,Germany,Italy,Italy,ITA,2,230,2,5023,Gianluigi Buffon,gianluigi-buffon,Goalkeeper,Juventus FC,30,30000000,2006-04-09,player_valuations,https://img.a.transfermarkt.technology/portrait/header/5023-1448530267.jpg?lm=1,https://www.transfermarkt.co.uk/gianluigi-buffon/profil/spieler/5023
2006,2006 Germany,2006-06-01,Germany,Italy,Italy,ITA,2,230,3,5878,Alberto Gilardino,alberto-gilardino,Attack,AC Milan,27,27000000,2006-04-09,player_valuations,https://img.a.transfermarkt.technology/portrait/header/5878-1448984743.jpg?lm=1,https://www.transfermarkt.co.uk/alberto-gilardino/profil/spieler/5878
2006,2006 Germany,2006-06-01,Germany,Italy,Italy,ITA,2,230,4,5980,Luca Toni,luca-toni,Attack,ACF Fiorentina,27,27000000,2006-04-02,player_valuations,https://img.a.transfermarkt.technology/portrait/header/5980-1449061674.jpg?lm=1,https://www.transfermarkt.co.uk/luca-toni/profil/spieler/5980
2006,2006 Germany,2006-06-01,Germany,Italy,Italy,ITA,2,230,5,5817,Andrea Pirlo,andrea-pirlo,Midfield,AC Milan,25,25000000,2005-07-29,player_valuations,https://img.a.transfermarkt.technology/portrait/header/5817-1454934952.jpg?lm=1,https://www.transfermarkt.co.uk/andrea-pirlo/profil/spieler/5817
2006,2006 Germany,2006-06-01,Germany,Italy,Italy,ITA,2,230,6,5962,Antonio Cassano,antonio-cassano,Attack,Real Madrid,20.5,20500000,2006-01-12,player_valuations,https://img.a.transfermarkt.technology/portrait/header/5962-1448965838.jpg?lm=1,https://www.transfermarkt.co.uk/antonio-cassano/profil/spieler/5962
2006,2006 Germany,2006-06-01,Germany,Italy,Italy,ITA,2,230,7,5947,Daniele De Rossi,daniele-de-rossi,Midfield,AS Roma,18,18000000,2006-04-02,player_valuations,https://img.a.transfermarkt.technology/portrait/header/5947-1454935412.jpg?lm=1,https://www.transfermarkt.co.uk/daniele-de-rossi/profil/spieler/5947
2006,2006 Germany,2006-06-01,Germany,Italy,Italy,ITA,2,230,8,5922,Simone Perrotta,simone-perrotta,Midfield,AS Roma,13.5,13500000,2006-04-02,player_valuations,https://img.a.transfermarkt.technology/portrait/header/5922-1601020119.jpg?lm=1,https://www.transfermarkt.co.uk/simone-perrotta/profil/spieler/5922
2006,2006 Germany,2006-06-01,Germany,Italy,Spain,ESP,3,206,1,7607,Xavi,xavi,Midfield,FC Barcelona,28,28000000,2006-01-20,player_valuations,https://img.a.transfermarkt.technology/portrait/header/7607-1476882942.jpg?lm=1,https://www.transfermarkt.co.uk/xavi/profil/spieler/7607
2006,2006 Germany,2006-06-01,Germany,Italy,Spain,ESP,3,206,2,7594,Carles Puyol,carles-puyol,Defender,FC Barcelona,27,27000000,2006-01-20,player_valuations,https://img.a.transfermarkt.technology/portrait/header/7594-1684225860.jpeg?lm=1,https://www.transfermarkt.co.uk/carles-puyol/profil/spieler/7594
2006,2006 Germany,2006-06-01,Germany,Italy,Spain,ESP,3,206,3,7980,David Villa,david-villa,Attack,Valencia CF,22,22000000,2006-06-02,player_valuations,https://img.a.transfermarkt.technology/portrait/header/7980-1684165569.jpg?lm=1,https://www.transfermarkt.co.uk/david-villa/profil/spieler/7980
2006,2006 Germany,2006-06-01,Germany,Italy,Spain,ESP,3,206,4,7476,Xabi Alonso,xabi-alonso,Midfield,Liverpool FC,21.5,21500000,2006-06-14,player_valuations,https://img.a.transfermarkt.technology/portrait/header/7476-1471439383.JPG?lm=1,https://www.transfermarkt.co.uk/xabi-alonso/profil/spieler/7476
2006,2006 Germany,2006-06-01,Germany,Italy,Spain,ESP,3,206,5,25557,Sergio Ramos,sergio-ramos,Defender,Real Madrid,17.5,17500000,2006-01-12,player_valuations,https://img.a.transfermarkt.technology/portrait/header/25557-1694502812.jpg?lm=1,https://www.transfermarkt.co.uk/sergio-ramos/profil/spieler/25557
2006,2006 Germany,2006-06-01,Germany,Italy,Spain,ESP,3,206,6,7717,José Antonio Reyes,jose-antonio-reyes,Attack,Arsenal FC,17,17000000,2006-06-14,player_valuations,https://img.a.transfermarkt.technology/portrait/header/7717-1559470124.jpg?lm=1,https://www.transfermarkt.co.uk/jose-antonio-reyes/profil/spieler/7717
2006,2006 Germany,2006-06-01,Germany,Italy,Spain,ESP,3,206,7,7501,Juan Carlos Valerón,juan-carlos-valeron,Midfield,Deportivo de La Coruña,14,14000000,2006-04-04,player_valuations,https://img.a.transfermarkt.technology/portrait/header/7501-1447321858.jpg?lm=1,https://www.transfermarkt.co.uk/juan-carlos-valeron/profil/spieler/7501
2006,2006 Germany,2006-06-01,Germany,Italy,Spain,ESP,3,206,8,8806,Cesc Fàbregas,cesc-fabregas,Midfield,Arsenal FC,13.5,13500000,2006-06-14,player_valuations,https://img.a.transfermarkt.technology/portrait/header/8806-1614090062.jpg?lm=1,https://www.transfermarkt.co.uk/cesc-fabregas/profil/spieler/8806
2006,2006 Germany,2006-06-01,Germany,Italy,Brazil,BRA,4,129,1,3366,Kaká,kaka,Midfield,AC Milan,35,35000000,2006-04-09,player_valuations,https://img.a.transfermarkt.technology/portrait/header/3366-1683638749.jpg?lm=1,https://www.transfermarkt.co.uk/kaka/profil/spieler/3366
2006,2006 Germany,2006-06-01,Germany,Italy,Brazil,BRA,4,129,2,15511,Robinho,robinho,Attack,Santos FC,25,25000000,2005-07-23,player_valuations,https://img.a.transfermarkt.technology/portrait/header/15511-1506092397.jpg?lm=1,https://www.transfermarkt.co.uk/robinho/profil/spieler/15511
2006,2006 Germany,2006-06-01,Germany,Italy,Brazil,BRA,4,129,3,77,Lúcio,lucio,Defender,Bayern Munich,21.5,21500000,2006-06-02,player_valuations,https://img.a.transfermarkt.technology/portrait/header/77-1458201664.jpg?lm=1,https://www.transfermarkt.co.uk/lucio/profil/spieler/77
2006,2006 Germany,2006-06-01,Germany,Italy,Brazil,BRA,4,129,4,15952,Júlio Baptista,julio-baptista,Midfield,Real Madrid,20,20000000,2006-01-12,player_valuations,https://img.a.transfermarkt.technology/portrait/header/15952-1552384630.jpg?lm=1,https://www.transfermarkt.co.uk/julio-baptista/profil/spieler/15952
