year,tournament,group,country,team_order,coach,player_count,goalkeepers,defenders,midfielders,forwards,unknown_positions,source_url
1930,1930 FIFA World Cup,Group 1,Argentina,1,Francisco Olazar and Juan José Tramutola,22,2,5,5,10,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 1,Chile,2,György Orth,19,2,5,5,7,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 1,France,3,Raoul Caudron,16,2,4,4,6,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 1,Mexico,4,Juan Luque de Serrallonga,17,2,3,4,8,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 2,Yugoslavia,5,Boško Simonović,17,2,3,5,7,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 2,Brazil,6,Píndaro,22,2,5,5,10,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 2,Bolivia,7,Ulises Saucedo,17,2,3,6,6,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 3,Uruguay,8,Alberto Suppici,22,2,4,6,10,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 3,Romania,9,Constantin Rădulescu,15,2,4,3,6,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 3,Peru,10,Francisco Bru,20,2,4,6,8,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 4,United States,11,Robert Millar,16,1,3,3,9,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
1930,1930 FIFA World Cup,Group 4,Paraguay,12,José Durand Laguna,22,2,4,6,10,0,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup_squads
