year,host,final_rank,team,team_code,stage,group,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,source_type,source_url,source_section
1930,Uruguay,1,Uruguay,URU,champion,3,4,4,0,0,15,3,12,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,2,Argentina,ARG,runner_up,1,5,4,0,1,18,9,9,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,3,United States,USA,third_place,4,3,2,0,1,7,6,1,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,4,Yugoslavia,YUG,fourth_place,2,3,2,0,1,7,7,0,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,5,Chile,CHI,group_stage,1,3,2,0,1,5,3,2,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,6,Brazil,BRA,group_stage,2,2,1,0,1,5,2,3,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,7,France,FRA,group_stage,1,3,1,0,2,4,3,1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,8,Romania,ROU,group_stage,3,2,1,0,1,3,5,-2,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,9,Paraguay,PAR,group_stage,4,2,1,0,1,1,3,-2,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,10,Peru,PER,group_stage,3,2,0,0,2,1,4,-3,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,11,Belgium,BEL,group_stage,4,2,0,0,2,0,4,-4,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,12,Bolivia,BOL,group_stage,2,2,0,0,2,0,8,-8,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1930,Uruguay,13,Mexico,MEX,group_stage,1,3,0,0,3,4,13,-9,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1930_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,1,Italy,ITA,champion,,5,4,1,0,12,3,9,9,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,2,Czechoslovakia,TCH,runner_up,,4,3,0,1,9,6,3,6,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,3,Germany,GER,third_place,,4,3,0,1,11,8,3,6,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,4,Austria,AUT,fourth_place,,4,2,0,2,7,7,0,4,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,5,Spain,ESP,quarter_finals,,3,1,1,1,4,3,1,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,6,Hungary,HUN,quarter_finals,,2,1,0,1,5,4,1,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,7,Switzerland,SUI,quarter_finals,,2,1,0,1,5,5,0,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,8,Sweden,SWE,quarter_finals,,2,1,0,1,4,4,0,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,9,Argentina,ARG,round_of_16,,1,0,0,1,2,3,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,10,France,FRA,round_of_16,,1,0,0,1,2,3,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,11,Netherlands,NED,round_of_16,,1,0,0,1,2,3,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,12,Romania,ROU,round_of_16,,1,0,0,1,1,2,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,13,Egypt,EGY,round_of_16,,1,0,0,1,2,4,-2,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,14,Brazil,BRA,round_of_16,,1,0,0,1,1,3,-2,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,15,Belgium,BEL,round_of_16,,1,0,0,1,2,5,-3,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1934,Italy,16,United States,USA,round_of_16,,1,0,0,1,1,7,-6,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1934_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,1,Italy,ITA,champion,,4,4,0,0,11,5,6,8,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,2,Hungary,HUN,runner_up,,4,3,0,1,15,5,10,6,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,3,Brazil,BRA,third_place,,5,3,1,1,14,11,3,7,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,4,Sweden,SWE,fourth_place,,3,1,0,2,11,9,2,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,5,Czechoslovakia,TCH,quarter_finals,,3,1,1,1,5,3,2,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,6,Switzerland,SUI,quarter_finals,,3,1,1,1,5,5,0,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,7,Cuba,CUB,quarter_finals,,3,1,1,1,5,12,-7,3,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,8,France,FRA,quarter_finals,,2,1,0,1,4,4,0,2,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,9,Romania,ROU,round_of_16,,2,0,1,1,4,5,-1,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,10,Germany,GER,round_of_16,,2,0,1,1,3,5,-2,1,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,11,Poland,POL,round_of_16,,1,0,0,1,5,6,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,12,Norway,NOR,round_of_16,,1,0,0,1,1,2,-1,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,13,Belgium,BEL,round_of_16,,1,0,0,1,1,3,-2,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,14,Netherlands,NED,round_of_16,,1,0,0,1,0,3,-3,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,15,Dutch East Indies,INH,round_of_16,,1,0,0,1,0,6,-6,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
1938,France,16,Austria,AUT,round_of_16,,0,0,0,0,0,0,0,0,wikipedia_fifa_retrospective_ranking,https://en.wikipedia.org/wiki/1938_FIFA_World_Cup,FIFA_retrospective_ranking
