month,year,month_number,player_id,name,country,position,sub_position,club,competition_id,value_million_eur,global_rank,is_top10,top10_rank,valuation_date,valuation_age_days,valuation_source,player_url
2000-01,2000,01,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,11,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-02,2000,02,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,40,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-03,2000,03,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,71,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-04,2000,04,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,101,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-05,2000,05,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,132,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-06,2000,06,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,162,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-07,2000,07,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,193,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-08,2000,08,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,224,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-09,2000,09,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,254,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-10,2000,10,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,285,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-11,2000,11,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,315,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2000-12,2000,12,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,346,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-01,2001,01,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,377,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-02,2001,02,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,405,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-03,2001,03,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,436,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-04,2001,04,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,466,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-05,2001,05,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,497,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2001-06,2001,06,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,1,1,1,2000-01-20,527,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-02,2016,02,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9292,0,,2016-02-07,22,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-03,2016,03,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9359,0,,2016-02-07,53,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-04,2016,04,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9391,0,,2016-02-07,83,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-05,2016,05,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9413,0,,2016-02-07,114,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-06,2016,06,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9425,0,,2016-02-07,144,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-07,2016,07,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9500,0,,2016-07-15,16,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-08,2016,08,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9578,0,,2016-07-15,47,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-09,2016,09,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9618,0,,2016-07-15,77,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-10,2016,10,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9693,0,,2016-07-15,108,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-11,2016,11,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9687,0,,2016-07-15,138,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2016-12,2016,12,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.25,9204,0,,2016-07-15,169,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-01,2017,01,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,10958,0,,2017-01-01,30,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-02,2017,02,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11100,0,,2017-01-01,58,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-03,2017,03,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11158,0,,2017-01-01,89,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-04,2017,04,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11221,0,,2017-01-01,119,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-05,2017,05,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11251,0,,2017-01-01,150,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-06,2017,06,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11401,0,,2017-01-01,180,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-07,2017,07,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11438,0,,2017-01-01,211,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-08,2017,08,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11409,0,,2017-01-01,242,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-09,2017,09,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11447,0,,2017-01-01,272,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-10,2017,10,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11594,0,,2017-01-01,303,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-11,2017,11,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11589,0,,2017-01-01,333,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2017-12,2017,12,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,10891,0,,2017-01-01,364,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2018-01,2018,01,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11089,0,,2017-01-01,395,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2018-02,2018,02,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11118,0,,2017-01-01,423,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2018-03,2018,03,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11226,0,,2017-01-01,454,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2018-04,2018,04,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11260,0,,2017-01-01,484,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2018-05,2018,05,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11332,0,,2017-01-01,515,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2018-06,2018,06,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Unknown,BE1,0.15,11466,0,,2017-01-01,545,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2018-09,2018,09,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,13511,0,,2018-09-11,19,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2018-10,2018,10,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,13589,0,,2018-09-11,50,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2018-11,2018,11,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,13628,0,,2018-09-11,80,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2018-12,2018,12,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,12621,0,,2018-09-11,111,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2019-01,2019,01,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,12799,0,,2018-09-11,142,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2019-02,2019,02,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,12925,0,,2018-09-11,170,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2019-03,2019,03,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,12990,0,,2018-09-11,201,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2019-04,2019,04,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,12984,0,,2018-09-11,231,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2019-05,2019,05,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,13049,0,,2018-09-11,262,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2019-06,2019,06,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,13323,0,,2018-09-11,292,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2019-07,2019,07,405973,Fadel Gobitaka,Togo,Attack,Left Winger,AS Verbroedering Geel,BE1,0.075,13425,0,,2018-09-11,323,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2019-08,2019,08,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Roda JC Kerkrade U21,BE1,0.05,14013,0,,2019-08-09,22,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
2019-09,2019,09,405973,Fadel Gobitaka,Togo,Attack,Left Winger,Roda JC Kerkrade U21,BE1,0.05,14236,0,,2019-08-09,52,player_valuations,https://www.transfermarkt.co.uk/fadel-gobitaka/profil/spieler/405973
