year,player_id,name,country,position,primary_club,clubs,club_spans,tracked_months,top10_months,best_global_rank,peak_value_million_eur,latest_value_million_eur,latest_month
2000,405973,Fadel Gobitaka,Togo,Attack,Unknown,Unknown,Jan-Dec: Unknown,12,12,1,0.15,0.15,2000-12
2001,405973,Fadel Gobitaka,Togo,Attack,Unknown,Unknown,Jan-Jun: Unknown,6,6,1,0.15,0.15,2001-06
2016,405973,Fadel Gobitaka,Togo,Attack,Unknown,Unknown,Feb-Dec: Unknown,11,0,9204,0.25,0.25,2016-12
2017,405973,Fadel Gobitaka,Togo,Attack,Unknown,Unknown,Jan-Dec: Unknown,12,0,10891,0.15,0.15,2017-12
2018,405973,Fadel Gobitaka,Togo,Attack,Unknown,Unknown | AS Verbroedering Geel,Jan-Jun: Unknown | Sep-Dec: AS Verbroedering Geel,10,0,11089,0.15,0.075,2018-12
2019,405973,Fadel Gobitaka,Togo,Attack,AS Verbroedering Geel,AS Verbroedering Geel | Roda JC Kerkrade U21,Jan-Jul: AS Verbroedering Geel | Aug-Nov: Roda JC Kerkrade U21,11,0,12799,0.075,0.05,2019-11
2001,342216,Julien Serrano,France,Defender,Unknown,Unknown,Jul-Dec: Unknown,6,6,1,0.1,0.1,2001-12
2002,342216,Julien Serrano,France,Defender,Unknown,Unknown,Jan-Dec: Unknown,12,12,1,0.1,0.1,2002-12
2017,342216,Julien Serrano,France,Defender,AS Monaco,AS Monaco,Jul-Dec: AS Monaco,6,0,12004,0.1,0.1,2017-12
2018,342216,Julien Serrano,France,Defender,AS Monaco,AS Monaco,Jan-Dec: AS Monaco,12,0,2662,2,2,2018-12
2019,342216,Julien Serrano,France,Defender,AS Monaco,AS Monaco | Cercle Brugge ,Jan-Nov: AS Monaco | Dec: Cercle Brugge ,12,0,2897,2,1,2019-12
2020,342216,Julien Serrano,France,Defender,AS Béziers,Cercle Brugge  | AS Béziers,Jan-Mar: Cercle Brugge  | Apr-Dec: AS Béziers,12,0,4519,1,0.9,2020-12
2021,342216,Julien Serrano,France,Defender,Livingston FC,Livingston FC | AS Monaco | Without Club | US Créteil-Lusitanos,Jan-May: Livingston FC | Jun-Sep: AS Monaco | Oct-Nov: Without Club | Dec: US Créteil-Lusitanos,12,0,4966,0.9,0.4,2021-12
