year,rank,name,symbol,country,slug,market_cap_usd,market_cap_usd_b,basis,source
1996,1,General Electric,GE,USA,general-electric,162760000000,162.76,end_of_year,https://companiesmarketcap.com/general-electric/marketcap/
1996,2,BP,BP,UK,bp,133130000000,133.13,end_of_year,https://companiesmarketcap.com/bp/marketcap/
1996,3,Coca-Cola,KO,USA,coca-cola,130560000000,130.56,end_of_year,https://companiesmarketcap.com/coca-cola/marketcap/
1996,4,Exxon Mobil,XOM,USA,exxon-mobil,121710000000,121.71,end_of_year,https://companiesmarketcap.com/exxon-mobil/marketcap/
1996,5,Toyota,TM,Japan,toyota,107860000000,107.86,end_of_year,https://companiesmarketcap.com/toyota/marketcap/
1996,6,Intel,INTC,USA,intel,107500000000,107.5,end_of_year,https://companiesmarketcap.com/intel/marketcap/
1996,7,Microsoft,MSFT,USA,microsoft,99410000000,99.41,end_of_year,https://companiesmarketcap.com/microsoft/marketcap/
1996,8,Merck,MRK,USA,merck,96070000000,96.07,end_of_year,https://companiesmarketcap.com/merck/marketcap/
1996,9,Altria Group,MO,USA,altria-group,91640000000,91.64,end_of_year,https://companiesmarketcap.com/altria-group/marketcap/
1996,10,Mitsubishi UFJ Financial,MUFG,Japan,mitsubishi-ufj-financial,88080000000,88.08,end_of_year,https://companiesmarketcap.com/mitsubishi-ufj-financial/marketcap/
1996,11,IBM,IBM,USA,ibm,76950000000,76.95,end_of_year,https://companiesmarketcap.com/ibm/marketcap/
1996,12,Procter & Gamble,PG,USA,procter-and-gamble,73130000000,73.13,end_of_year,https://companiesmarketcap.com/procter-and-gamble/marketcap/
1996,13,Johnson & Johnson,JNJ,USA,johnson-and-johnson,66290000000,66.29,end_of_year,https://companiesmarketcap.com/johnson-and-johnson/marketcap/
1996,14,HSBC,HSBC,UK,hsbc,65960000000,65.96,end_of_year,https://companiesmarketcap.com/hsbc/marketcap/
1996,15,GSK plc,GSK,UK,glaxo-smith-kline,56280000000,56.28,end_of_year,https://companiesmarketcap.com/glaxo-smith-kline/marketcap/
1996,16,Bristol-Myers Squibb,BMY,USA,bristol-myers-squibb,54530000000,54.53,end_of_year,https://companiesmarketcap.com/bristol-myers-squibb/marketcap/
1996,17,Pfizer,PFE,USA,pfizer,53530000000,53.53,end_of_year,https://companiesmarketcap.com/pfizer/marketcap/
1996,18,Deutsche Telekom,DTE.DE,Germany,deutsche-telekom,52300000000,52.3,end_of_year,https://companiesmarketcap.com/deutsche-telekom/marketcap/
1996,19,Walmart,WMT,USA,walmart,52180000000,52.18,end_of_year,https://companiesmarketcap.com/walmart/marketcap/
1996,20,American International Group,AIG,United States,aig,50810000000,50.81,end_of_year,https://companiesmarketcap.com/aig/marketcap/
1996,21,Walt Disney,DIS,USA,walt-disney,47080000000,47.08,end_of_year,https://companiesmarketcap.com/walt-disney/marketcap/
1996,22,Pepsico,PEP,USA,pepsico,45620000000,45.62,end_of_year,https://companiesmarketcap.com/pepsico/marketcap/
1996,23,Chevron,CVX,USA,chevron,42400000000,42.4,end_of_year,https://companiesmarketcap.com/chevron/marketcap/
1996,24,Berkshire Hathaway,BRK-B,USA,berkshire-hathaway,42000000000,42.0,end_of_year,https://companiesmarketcap.com/berkshire-hathaway/marketcap/
1996,25,Cisco,CSCO,USA,cisco,41710000000,41.71,end_of_year,https://companiesmarketcap.com/cisco/marketcap/
1996,26,ENI,E,Italy,eni,41290000000,41.29,end_of_year,https://companiesmarketcap.com/eni/marketcap/
1996,27,Eli Lilly,LLY,USA,eli-lilly,40630000000,40.63,end_of_year,https://companiesmarketcap.com/eli-lilly/marketcap/
1996,28,Abbott Laboratories,ABT,USA,abbott-laboratories,39780000000,39.78,end_of_year,https://companiesmarketcap.com/abbott-laboratories/marketcap/
1996,29,BT Group,BT-A.L,United Kingdom,bt-group,38700000000,38.7,end_of_year,https://companiesmarketcap.com/bt-group/marketcap/
1996,30,JPMorgan Chase,JPM,USA,jp-morgan-chase,38500000000,38.5,end_of_year,https://companiesmarketcap.com/jp-morgan-chase/marketcap/
1996,31,Boeing,BA,USA,boeing,38380000000,38.38,end_of_year,https://companiesmarketcap.com/boeing/marketcap/
1996,32,Unilever,UL,UK,unilever,36450000000,36.45,end_of_year,https://companiesmarketcap.com/unilever/marketcap/
1996,33,Motorola Solutions,MSI,USA,motorola-solutions,36340000000,36.34,end_of_year,https://companiesmarketcap.com/motorola-solutions/marketcap/
1996,34,Ford,F,USA,ford,35410000000,35.41,end_of_year,https://companiesmarketcap.com/ford/marketcap/
1996,35,3M,MMM,USA,3m,34590000000,34.59,end_of_year,https://companiesmarketcap.com/3m/marketcap/
1996,36,Diageo,DEO,UK,diageo,31560000000,31.56,end_of_year,https://companiesmarketcap.com/diageo/marketcap/
1996,37,McDonald,MCD,USA,mcdonald,31510000000,31.51,end_of_year,https://companiesmarketcap.com/mcdonald/marketcap/
1996,38,AT&T,T,USA,att,31110000000,31.11,end_of_year,https://companiesmarketcap.com/att/marketcap/
1996,39,Bank of America,BAC,USA,bank-of-america,29430000000,29.43,end_of_year,https://companiesmarketcap.com/bank-of-america/marketcap/
1996,40,Citigroup,C,USA,citigroup,29190000000,29.19,end_of_year,https://companiesmarketcap.com/citigroup/marketcap/
1997,1,General Electric,GE,USA,general-electric,239770000000,239.77,end_of_year,https://companiesmarketcap.com/general-electric/marketcap/
1997,2,Coca-Cola,KO,USA,coca-cola,164760000000,164.76,end_of_year,https://companiesmarketcap.com/coca-cola/marketcap/
1997,3,Microsoft,MSFT,USA,microsoft,157360000000,157.36,end_of_year,https://companiesmarketcap.com/microsoft/marketcap/
1997,4,Exxon Mobil,XOM,USA,exxon-mobil,150330000000,150.33,end_of_year,https://companiesmarketcap.com/exxon-mobil/marketcap/
1997,5,Merck,MRK,USA,merck,126520000000,126.52,end_of_year,https://companiesmarketcap.com/merck/marketcap/
1997,6,Intel,INTC,USA,intel,114370000000,114.37,end_of_year,https://companiesmarketcap.com/intel/marketcap/
1997,7,Altria Group,MO,USA,altria-group,109710000000,109.71,end_of_year,https://companiesmarketcap.com/altria-group/marketcap/
1997,8,Toyota,TM,Japan,toyota,108760000000,108.76,end_of_year,https://companiesmarketcap.com/toyota/marketcap/
1997,9,Procter & Gamble,PG,USA,procter-and-gamble,107090000000,107.09,end_of_year,https://companiesmarketcap.com/procter-and-gamble/marketcap/
1997,10,IBM,IBM,USA,ibm,100240000000,100.24,end_of_year,https://companiesmarketcap.com/ibm/marketcap/
1997,11,Pfizer,PFE,USA,pfizer,96480000000,96.48,end_of_year,https://companiesmarketcap.com/pfizer/marketcap/
1997,12,Bristol-Myers Squibb,BMY,USA,bristol-myers-squibb,93980000000,93.98,end_of_year,https://companiesmarketcap.com/bristol-myers-squibb/marketcap/
1997,13,Johnson & Johnson,JNJ,USA,johnson-and-johnson,88610000000,88.61,end_of_year,https://companiesmarketcap.com/johnson-and-johnson/marketcap/
1997,14,Walmart,WMT,USA,walmart,88570000000,88.57,end_of_year,https://companiesmarketcap.com/walmart/marketcap/
1997,15,GSK plc,GSK,UK,glaxo-smith-kline,85570000000,85.57,end_of_year,https://companiesmarketcap.com/glaxo-smith-kline/marketcap/
1997,16,Eli Lilly,LLY,USA,eli-lilly,77320000000,77.32,end_of_year,https://companiesmarketcap.com/eli-lilly/marketcap/
1997,17,HSBC,HSBC,UK,hsbc,76760000000,76.76,end_of_year,https://companiesmarketcap.com/hsbc/marketcap/
1997,18,BP,BP,UK,bp,76530000000,76.53,end_of_year,https://companiesmarketcap.com/bp/marketcap/
1997,19,American International Group,AIG,United States,aig,76070000000,76.07,end_of_year,https://companiesmarketcap.com/aig/marketcap/
1997,20,Verizon,VZ,USA,verizon,70660000000,70.66,end_of_year,https://companiesmarketcap.com/verizon/marketcap/
1997,21,AT&T,T,USA,att,67290000000,67.29,end_of_year,https://companiesmarketcap.com/att/marketcap/
1997,22,Walt Disney,DIS,USA,walt-disney,67020000000,67.02,end_of_year,https://companiesmarketcap.com/walt-disney/marketcap/
1997,23,Mitsubishi UFJ Financial,MUFG,Japan,mitsubishi-ufj-financial,65620000000,65.62,end_of_year,https://companiesmarketcap.com/mitsubishi-ufj-financial/marketcap/
1997,24,Citigroup,C,USA,citigroup,61680000000,61.68,end_of_year,https://companiesmarketcap.com/citigroup/marketcap/
1997,25,BellSouth,BLS,United States,bellsouth,56870000000,56.87,end_of_year,https://companiesmarketcap.com/bellsouth/marketcap/
1997,26,Berkshire Hathaway,BRK-B,USA,berkshire-hathaway,56770000000,56.77,end_of_year,https://companiesmarketcap.com/berkshire-hathaway/marketcap/
1997,27,Gillette,G,United States,gillette,56250000000,56.25,end_of_year,https://companiesmarketcap.com/gillette/marketcap/
1997,28,Cisco,CSCO,USA,cisco,56030000000,56.03,end_of_year,https://companiesmarketcap.com/cisco/marketcap/
1997,29,Pepsico,PEP,USA,pepsico,54720000000,54.72,end_of_year,https://companiesmarketcap.com/pepsico/marketcap/
1997,30,Ford,F,USA,ford,54330000000,54.33,end_of_year,https://companiesmarketcap.com/ford/marketcap/
1997,31,Deutsche Telekom,DTE.DE,Germany,deutsche-telekom,54220000000,54.22,end_of_year,https://companiesmarketcap.com/deutsche-telekom/marketcap/
1997,32,Lucent Technologies,LU,United States,lucent-technologies,51340000000,51.34,end_of_year,https://companiesmarketcap.com/lucent-technologies/marketcap/
1997,33,Unilever,UL,UK,unilever,50960000000,50.96,end_of_year,https://companiesmarketcap.com/unilever/marketcap/
1997,34,Chevron,CVX,USA,chevron,50560000000,50.56,end_of_year,https://companiesmarketcap.com/chevron/marketcap/
1997,35,Abbott Laboratories,ABT,USA,abbott-laboratories,50040000000,50.04,end_of_year,https://companiesmarketcap.com/abbott-laboratories/marketcap/
1997,36,Wyeth,WYE,United States,wyeth,49690000000,49.69,end_of_year,https://companiesmarketcap.com/wyeth/marketcap/
1997,37,Nortel Networks,NRTLQ,Canada,nortel-networks,46320000000,46.32,end_of_year,https://companiesmarketcap.com/nortel-networks/marketcap/
1997,38,JPMorgan Chase,JPM,USA,jp-morgan-chase,46090000000,46.09,end_of_year,https://companiesmarketcap.com/jp-morgan-chase/marketcap/
1997,39,ENI,E,Italy,eni,45640000000,45.64,end_of_year,https://companiesmarketcap.com/eni/marketcap/
1997,40,BT Group,BT-A.L,United Kingdom,bt-group,45430000000,45.43,end_of_year,https://companiesmarketcap.com/bt-group/marketcap/
1998,1,Microsoft,MSFT,USA,microsoft,348100000000,348.1,end_of_year,https://companiesmarketcap.com/microsoft/marketcap/
1998,2,General Electric,GE,USA,general-electric,334000000000,334.0,end_of_year,https://companiesmarketcap.com/general-electric/marketcap/
1998,3,Nestlé,NESN.SW,Switzerland,nestle,304670000000,304.67,end_of_year,https://companiesmarketcap.com/nestle/marketcap/
1998,4,Intel,INTC,USA,intel,196510000000,196.51,end_of_year,https://companiesmarketcap.com/intel/marketcap/
1998,5,Walmart,WMT,USA,walmart,181070000000,181.07,end_of_year,https://companiesmarketcap.com/walmart/marketcap/
1998,6,Exxon Mobil,XOM,USA,exxon-mobil,177540000000,177.54,end_of_year,https://companiesmarketcap.com/exxon-mobil/marketcap/
1998,7,Unilever,UL,UK,unilever,177460000000,177.46,end_of_year,https://companiesmarketcap.com/unilever/marketcap/
1998,8,Merck,MRK,USA,merck,174080000000,174.08,end_of_year,https://companiesmarketcap.com/merck/marketcap/
1998,9,IBM,IBM,USA,ibm,168870000000,168.87,end_of_year,https://companiesmarketcap.com/ibm/marketcap/
1998,10,Coca-Cola,KO,USA,coca-cola,165180000000,165.18,end_of_year,https://companiesmarketcap.com/coca-cola/marketcap/
1998,11,Pfizer,PFE,USA,pfizer,161750000000,161.75,end_of_year,https://companiesmarketcap.com/pfizer/marketcap/
1998,12,BP,BP,UK,bp,146450000000,146.45,end_of_year,https://companiesmarketcap.com/bp/marketcap/
1998,13,Cisco,CSCO,USA,cisco,145990000000,145.99,end_of_year,https://companiesmarketcap.com/cisco/marketcap/
1998,14,Lucent Technologies,LU,United States,lucent-technologies,144960000000,144.96,end_of_year,https://companiesmarketcap.com/lucent-technologies/marketcap/
1998,15,Novartis,NVS,Switzerland,novartis,134220000000,134.22,end_of_year,https://companiesmarketcap.com/novartis/marketcap/
1998,16,Bristol-Myers Squibb,BMY,USA,bristol-myers-squibb,133060000000,133.06,end_of_year,https://companiesmarketcap.com/bristol-myers-squibb/marketcap/
1998,17,Worldcom,WCOM,United States,worldcom,131540000000,131.54,end_of_year,https://companiesmarketcap.com/worldcom/marketcap/
1998,18,Altria Group,MO,USA,altria-group,129980000000,129.98,end_of_year,https://companiesmarketcap.com/altria-group/marketcap/
1998,19,GSK plc,GSK,UK,glaxo-smith-kline,125990000000,125.99,end_of_year,https://companiesmarketcap.com/glaxo-smith-kline/marketcap/
1998,20,Procter & Gamble,PG,USA,procter-and-gamble,121110000000,121.11,end_of_year,https://companiesmarketcap.com/procter-and-gamble/marketcap/
1998,21,Citigroup,C,USA,citigroup,119270000000,119.27,end_of_year,https://companiesmarketcap.com/citigroup/marketcap/
1998,22,Johnson & Johnson,JNJ,USA,johnson-and-johnson,112730000000,112.73,end_of_year,https://companiesmarketcap.com/johnson-and-johnson/marketcap/
1998,23,AT&T,T,USA,att,105060000000,105.06,end_of_year,https://companiesmarketcap.com/att/marketcap/
1998,24,Bank of America,BAC,USA,bank-of-america,103680000000,103.68,end_of_year,https://companiesmarketcap.com/bank-of-america/marketcap/
1998,25,American International Group,AIG,United States,aig,101420000000,101.42,end_of_year,https://companiesmarketcap.com/aig/marketcap/
1998,26,Toyota,TM,Japan,toyota,101160000000,101.16,end_of_year,https://companiesmarketcap.com/toyota/marketcap/
1998,27,Mercedes-Benz,MBG.DE,Germany,mercedes-benz-group,99370000000,99.37,end_of_year,https://companiesmarketcap.com/mercedes-benz-group/marketcap/
1998,28,Eli Lilly,LLY,USA,eli-lilly,97440000000,97.44,end_of_year,https://companiesmarketcap.com/eli-lilly/marketcap/
1998,29,BellSouth,BLS,United States,bellsouth,96880000000,96.88,end_of_year,https://companiesmarketcap.com/bellsouth/marketcap/
1998,30,Deutsche Telekom,DTE.DE,Germany,deutsche-telekom,91350000000,91.35,end_of_year,https://companiesmarketcap.com/deutsche-telekom/marketcap/
1998,31,Berkshire Hathaway,BRK-B,USA,berkshire-hathaway,90930000000,90.93,end_of_year,https://companiesmarketcap.com/berkshire-hathaway/marketcap/
1998,32,Verizon,VZ,USA,verizon,85110000000,85.11,end_of_year,https://companiesmarketcap.com/verizon/marketcap/
1998,33,Home Depot,HD,USA,home-depot,84210000000,84.21,end_of_year,https://companiesmarketcap.com/home-depot/marketcap/
