month,community_rank,meme,query,kym_vote_share,source_url,video_search_query,notes,google_trends_month_score,google_trends_peak_month_2025,google_trends_peak_score_2025,google_trends_rank_in_month,kym_vote_norm_in_month,google_trends_norm_in_month,final_score_70kym_30trends,final_rank_in_month,google_trends_status
2025-01,1,Gi-Hun I Played These Games Before,I played these games before,32.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,Squid Game I played these games before meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-01,2,Eye of Rah,Eye of Rah,10.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,Eye of Rah meme,,0,,0,2,32.31,0.00,32.31,2,rate_limited_not_verified
2025-01,3,Elon Musk Salute,Elon Musk salute,9.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,Elon Musk salute meme,,0,,0,3,29.23,0.00,29.23,3,rate_limited_not_verified
2025-01,4,TikTok US Ban,TikTok US Ban,6.5,https://knowyourmeme.com/editorials/see-the-winner-of-january-2025s-meme-of-the-month,TikTok ban memes January 2025,,0,,0,4,20.00,0.00,20.00,4,rate_limited_not_verified
2025-02,1,Cave Diver Memes,Cave diver meme,34.5,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Cave diver meme 2025,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-02,2,Say Drake,Say Drake,8.0,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Kendrick Lamar Say Drake meme,,0,,0,2,23.19,0.00,23.19,2,rate_limited_not_verified
2025-02,2,Milton's Dancing Rat,Milton's Dancing Rat,8.0,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Milton dancing rat trend,,0,,0,3,23.19,0.00,23.19,3,rate_limited_not_verified
2025-02,4,Artists Who Can Sing / Artists Who Can't Sing,Artists who can sing artists who can't sing,7.5,https://knowyourmeme.com/editorials/see-the-winner-of-february-2025s-meme-of-the-month,Artists who can sing meme,,0,,0,4,21.74,0.00,21.74,4,rate_limited_not_verified
2025-03,1,Italian Brainrot,Italian Brainrot,19.5,https://knowyourmeme.com/editorials/see-the-winner-of-march-2025s-meme-of-the-month,Italian Brainrot meme,Top candidate for hero video,0,,0,1,100.00,0.00,100.00,1,rate_limited_not_verified
2025-03,2,Ashton Hall's Morning Routine,Ashton Hall morning routine,15.5,https://knowyourmeme.com/editorials/see-the-winner-of-march-2025s-meme-of-the-month,Ashton Hall morning routine meme,,0,,0,2,79.49,0.00,79.49,2,rate_limited_not_verified
